case_id,machine_id,component,failure,symptoms,resolution
CASE-0554,MC-014,Bucket Cylinder,Cooler restriction,Levers feel light and unresponsive; Delayed function response; Uneven function speed,Replaced hydraulic filter element and cleaned suction strainer
CASE-0555,EXC-003,Hydraulic Pump,Filter blockage,Boom is slow; Arm is slow; Weak digging force,Bled hydraulic lines and replaced damaged fittings
CASE-0556,MC-003,Swing Motor,Valve spool binding,Filter indicator light on; System-wide power loss; Foamy oil in reservoir,Replaced cylinder seals and holding valve
CASE-0557,EXC-008,Oil Cooler,Filter blockage,Boom is slow; Arm is slow; Weak digging force,Cleaned spool valve linkage and replaced valve seals
CASE-0558,MC-004,Hydraulic Filter,Line restriction,Levers feel light and unresponsive; Delayed function response; Uneven function speed,Replaced cylinder seals and holding valve
CASE-0559,MC-014,Travel Motor,Cooler restriction,Jerky cylinder movement; Inconsistent control response; System noise,"Drained hydraulic oil, flushed system, replaced breather cap, refilled"
CASE-0560,MC-003,Main Control Valve,Accumulator pressure loss,Levers feel light and unresponsive; Delayed function response; Uneven function speed,Rebuilt main pump assembly and replaced seals
CASE-0561,EXC-008,Oil Cooler,Filter blockage,Jerky cylinder movement; Inconsistent control response; System noise,Flushed oil cooler core and replaced fan motor
CASE-0562,MC-011,Pilot System,Air ingress,Boom is slow; Arm is slow; Weak digging force,"Drained hydraulic oil, flushed system, replaced breather cap, refilled"
CASE-0563,MC-005,Boom Cylinder,Air ingress,Levers feel light and unresponsive; Delayed function response; Uneven function speed,Replaced hydraulic filter element and cleaned suction strainer
CASE-0564,EXC-007,Oil Cooler,Valve spool binding,Jerky cylinder movement; Inconsistent control response; System noise,Rebuilt main pump assembly and replaced seals
CASE-0565,EXC-001,Boom Cylinder,Cylinder seal wear,Levers feel light and unresponsive; Delayed function response; Uneven function speed,Bled hydraulic lines and replaced damaged fittings
CASE-0566,MC-017,Hydraulic Pump,Oil contamination,Levers feel light and unresponsive; Delayed function response; Uneven function speed,Replaced hydraulic filter element and cleaned suction strainer
CASE-0567,MC-014,Swing Motor,Filter blockage,Levers feel light and unresponsive; Delayed function response; Uneven function speed,Rebuilt main pump assembly and replaced seals
CASE-0568,MC-015,Bucket Cylinder,Pilot pressure drop,Levers feel light and unresponsive; Delayed function response; Uneven function speed,Flushed oil cooler core and replaced fan motor
CASE-0569,EXC-006,Boom Cylinder,Air ingress,Boom is slow; Arm is slow; Weak digging force,Recharged accumulator pre-charge to specification
CASE-0570,EXC-002,Hydraulic Oil,Filter blockage,Levers feel light and unresponsive; Delayed function response; Uneven function speed,"Drained hydraulic oil, flushed system, replaced breather cap, refilled"
CASE-0571,MC-020,Hydraulic Line,Cooler restriction,Functions drift down when idle; Pressure drop under load; Sluggish response,"Drained hydraulic oil, flushed system, replaced breather cap, refilled"
CASE-0572,MC-009,Travel Motor,Line restriction,Filter indicator light on; System-wide power loss; Foamy oil in reservoir,Cleaned spool valve linkage and replaced valve seals
CASE-0573,MC-014,Hydraulic Pump,Pilot pressure drop,Levers feel light and unresponsive; Delayed function response; Uneven function speed,Cleaned spool valve linkage and replaced valve seals
CASE-0574,EXC-006,Hydraulic Pump,Air ingress,Jerky cylinder movement; Inconsistent control response; System noise,Recharged accumulator pre-charge to specification
CASE-0575,MC-019,Main Control Valve,Filter blockage,Jerky cylinder movement; Inconsistent control response; System noise,Bled hydraulic lines and replaced damaged fittings
CASE-0576,MC-009,Hydraulic Oil,Valve spool binding,Levers feel light and unresponsive; Delayed function response; Uneven function speed,Replaced hydraulic filter element and cleaned suction strainer
CASE-0577,MC-013,Accumulator,Filter blockage,Hydraulic oil temperature high; Performance degrades when hot; Slow speed,Rebuilt main pump assembly and replaced seals
CASE-0578,EXC-005,Hydraulic Oil,Internal pump leakage,Boom is slow; Arm is slow; Weak digging force,Replaced hydraulic filter element and cleaned suction strainer
CASE-0579,EXC-004,Bucket Cylinder,Oil contamination,Levers feel light and unresponsive; Delayed function response; Uneven function speed,Recharged accumulator pre-charge to specification
CASE-0580,MC-017,Boom Cylinder,Cylinder seal wear,Jerky cylinder movement; Inconsistent control response; System noise,Bled hydraulic lines and replaced damaged fittings
CASE-0581,EXC-008,Pilot System,Filter blockage,Levers feel light and unresponsive; Delayed function response; Uneven function speed,Bled hydraulic lines and replaced damaged fittings
CASE-0582,MC-013,Travel Motor,Filter blockage,Boom is slow; Arm is slow; Weak digging force,Replaced pilot pressure reducing valve and pilot filter
CASE-0583,MC-007,Arm Cylinder,Line restriction,Hydraulic oil temperature high; Performance degrades when hot; Slow speed,Bled hydraulic lines and replaced damaged fittings
CASE-0584,MC-009,Swing Motor,Accumulator pressure loss,Hydraulic oil temperature high; Performance degrades when hot; Slow speed,Replaced worn hydraulic hose near swing joint
CASE-0585,EXC-003,Oil Cooler,Air ingress,Jerky cylinder movement; Inconsistent control response; System noise,Replaced pilot pressure reducing valve and pilot filter
CASE-0586,EXC-006,Accumulator,Cooler restriction,Hydraulic oil temperature high; Performance degrades when hot; Slow speed,Replaced cylinder seals and holding valve
CASE-0587,EXC-003,Pilot System,Line restriction,Hydraulic oil temperature high; Performance degrades when hot; Slow speed,Recharged accumulator pre-charge to specification
CASE-0588,MC-017,Main Control Valve,Cooler restriction,Boom is slow; Arm is slow; Weak digging force,Flushed oil cooler core and replaced fan motor
CASE-0589,MC-019,Arm Cylinder,Filter blockage,Hydraulic oil temperature high; Performance degrades when hot; Slow speed,Replaced hydraulic filter element and cleaned suction strainer
CASE-0590,EXC-006,Accumulator,Air ingress,Filter indicator light on; System-wide power loss; Foamy oil in reservoir,Replaced worn hydraulic hose near swing joint
CASE-0591,MC-008,Hydraulic Pump,Cooler restriction,Boom is slow; Arm is slow; Weak digging force,Bled hydraulic lines and replaced damaged fittings
CASE-0592,MC-004,Main Control Valve,Cooler restriction,Jerky cylinder movement; Inconsistent control response; System noise,"Drained hydraulic oil, flushed system, replaced breather cap, refilled"
CASE-0593,MC-006,Hydraulic Filter,Internal pump leakage,Boom is slow; Arm is slow; Weak digging force,"Drained hydraulic oil, flushed system, replaced breather cap, refilled"
CASE-0594,EXC-003,Oil Cooler,Valve spool binding,Boom is slow; Arm is slow; Weak digging force,Replaced cylinder seals and holding valve
CASE-0595,EXC-007,Accumulator,Cylinder seal wear,Filter indicator light on; System-wide power loss; Foamy oil in reservoir,Replaced pilot pressure reducing valve and pilot filter
CASE-0596,MC-013,Travel Motor,Line restriction,Levers feel light and unresponsive; Delayed function response; Uneven function speed,"Drained hydraulic oil, flushed system, replaced breather cap, refilled"
CASE-0597,MC-012,Hydraulic Oil,Internal pump leakage,Levers feel light and unresponsive; Delayed function response; Uneven function speed,Replaced pilot pressure reducing valve and pilot filter
CASE-0598,EXC-004,Oil Cooler,Air ingress,Filter indicator light on; System-wide power loss; Foamy oil in reservoir,Bled hydraulic lines and replaced damaged fittings
CASE-0599,MC-011,Oil Cooler,Line restriction,Hydraulic oil temperature high; Performance degrades when hot; Slow speed,Replaced cylinder seals and holding valve
CASE-0600,MC-014,Main Control Valve,Oil contamination,Functions drift down when idle; Pressure drop under load; Sluggish response,Recharged accumulator pre-charge to specification
CASE-0601,MC-016,Travel Motor,Pilot pressure drop,Hydraulic oil temperature high; Performance degrades when hot; Slow speed,Replaced hydraulic filter element and cleaned suction strainer
CASE-0602,EXC-008,Hydraulic Filter,Accumulator pressure loss,Jerky cylinder movement; Inconsistent control response; System noise,Replaced worn hydraulic hose near swing joint
CASE-0603,EXC-008,Swing Motor,Valve spool binding,Jerky cylinder movement; Inconsistent control response; System noise,Replaced pilot pressure reducing valve and pilot filter
CASE-0604,MC-006,Bucket Cylinder,Oil contamination,Hydraulic oil temperature high; Performance degrades when hot; Slow speed,Bled hydraulic lines and replaced damaged fittings
CASE-0605,MC-012,Main Control Valve,Pilot pressure drop,Functions drift down when idle; Pressure drop under load; Sluggish response,Rebuilt main pump assembly and replaced seals
CASE-0606,MC-012,Accumulator,Filter blockage,Hydraulic oil temperature high; Performance degrades when hot; Slow speed,Flushed oil cooler core and replaced fan motor
CASE-0607,EXC-003,Swing Motor,Cylinder seal wear,Jerky cylinder movement; Inconsistent control response; System noise,Replaced cylinder seals and holding valve
CASE-0608,MC-014,Oil Cooler,Cylinder seal wear,Functions drift down when idle; Pressure drop under load; Sluggish response,Replaced pilot pressure reducing valve and pilot filter
CASE-0609,MC-017,Boom Cylinder,Internal pump leakage,Levers feel light and unresponsive; Delayed function response; Uneven function speed,Flushed oil cooler core and replaced fan motor
CASE-0610,EXC-003,Hydraulic Oil,Line restriction,Jerky cylinder movement; Inconsistent control response; System noise,Replaced pilot pressure reducing valve and pilot filter
CASE-0611,EXC-002,Accumulator,Pilot pressure drop,Hydraulic oil temperature high; Performance degrades when hot; Slow speed,Cleaned spool valve linkage and replaced valve seals
CASE-0612,MC-008,Swing Motor,Cylinder seal wear,Functions drift down when idle; Pressure drop under load; Sluggish response,Bled hydraulic lines and replaced damaged fittings
CASE-0613,MC-019,Swing Motor,Valve spool binding,Jerky cylinder movement; Inconsistent control response; System noise,Cleaned spool valve linkage and replaced valve seals
CASE-0614,EXC-002,Travel Motor,Air ingress,Hydraulic oil temperature high; Performance degrades when hot; Slow speed,Replaced worn hydraulic hose near swing joint
CASE-0615,EXC-005,Travel Motor,Internal pump leakage,Levers feel light and unresponsive; Delayed function response; Uneven function speed,Bled hydraulic lines and replaced damaged fittings
CASE-0616,MC-018,Hydraulic Pump,Line restriction,Levers feel light and unresponsive; Delayed function response; Uneven function speed,Flushed oil cooler core and replaced fan motor
CASE-0617,MC-016,Swing Motor,Internal pump leakage,Jerky cylinder movement; Inconsistent control response; System noise,Bled hydraulic lines and replaced damaged fittings
CASE-0618,EXC-001,Accumulator,Filter blockage,Filter indicator light on; System-wide power loss; Foamy oil in reservoir,Replaced cylinder seals and holding valve
CASE-0619,MC-009,Boom Cylinder,Filter blockage,Hydraulic oil temperature high; Performance degrades when hot; Slow speed,Replaced pilot pressure reducing valve and pilot filter
CASE-0620,MC-009,Travel Motor,Air ingress,Boom is slow; Arm is slow; Weak digging force,Flushed oil cooler core and replaced fan motor
CASE-0621,EXC-002,Main Control Valve,Accumulator pressure loss,Jerky cylinder movement; Inconsistent control response; System noise,Flushed oil cooler core and replaced fan motor
CASE-0622,MC-015,Pilot System,Oil contamination,Hydraulic oil temperature high; Performance degrades when hot; Slow speed,Replaced hydraulic filter element and cleaned suction strainer
CASE-0623,MC-015,Bucket Cylinder,Accumulator pressure loss,Jerky cylinder movement; Inconsistent control response; System noise,"Drained hydraulic oil, flushed system, replaced breather cap, refilled"
CASE-0624,MC-013,Hydraulic Filter,Oil contamination,Hydraulic oil temperature high; Performance degrades when hot; Slow speed,Bled hydraulic lines and replaced damaged fittings
CASE-0625,EXC-005,Hydraulic Filter,Air ingress,Hydraulic oil temperature high; Performance degrades when hot; Slow speed,Bled hydraulic lines and replaced damaged fittings
CASE-0626,MC-014,Hydraulic Filter,Cooler restriction,Hydraulic oil temperature high; Performance degrades when hot; Slow speed,Bled hydraulic lines and replaced damaged fittings
CASE-0627,MC-016,Travel Motor,Internal pump leakage,Filter indicator light on; System-wide power loss; Foamy oil in reservoir,Bled hydraulic lines and replaced damaged fittings
CASE-0628,MC-015,Hydraulic Oil,Valve spool binding,Jerky cylinder movement; Inconsistent control response; System noise,Replaced hydraulic filter element and cleaned suction strainer
CASE-0629,MC-017,Arm Cylinder,Valve spool binding,Boom is slow; Arm is slow; Weak digging force,Cleaned spool valve linkage and replaced valve seals
CASE-0630,MC-008,Accumulator,Internal pump leakage,Filter indicator light on; System-wide power loss; Foamy oil in reservoir,"Drained hydraulic oil, flushed system, replaced breather cap, refilled"
CASE-0631,EXC-005,Swing Motor,Oil contamination,Levers feel light and unresponsive; Delayed function response; Uneven function speed,Replaced hydraulic filter element and cleaned suction strainer
CASE-0632,MC-002,Oil Cooler,Oil contamination,Levers feel light and unresponsive; Delayed function response; Uneven function speed,"Drained hydraulic oil, flushed system, replaced breather cap, refilled"
CASE-0633,MC-008,Hydraulic Pump,Filter blockage,Hydraulic oil temperature high; Performance degrades when hot; Slow speed,"Drained hydraulic oil, flushed system, replaced breather cap, refilled"
CASE-0634,EXC-002,Boom Cylinder,Line restriction,Functions drift down when idle; Pressure drop under load; Sluggish response,Flushed oil cooler core and replaced fan motor
CASE-0635,MC-002,Hydraulic Pump,Pilot pressure drop,Filter indicator light on; System-wide power loss; Foamy oil in reservoir,Rebuilt main pump assembly and replaced seals
CASE-0636,MC-014,Hydraulic Line,Line restriction,Hydraulic oil temperature high; Performance degrades when hot; Slow speed,Flushed oil cooler core and replaced fan motor
CASE-0637,MC-002,Travel Motor,Internal pump leakage,Jerky cylinder movement; Inconsistent control response; System noise,Recharged accumulator pre-charge to specification
CASE-0638,MC-019,Arm Cylinder,Cooler restriction,Jerky cylinder movement; Inconsistent control response; System noise,Replaced pilot pressure reducing valve and pilot filter
CASE-0639,EXC-002,Pilot System,Cylinder seal wear,Hydraulic oil temperature high; Performance degrades when hot; Slow speed,Flushed oil cooler core and replaced fan motor
CASE-0640,MC-014,Hydraulic Filter,Valve spool binding,Boom is slow; Arm is slow; Weak digging force,Replaced pilot pressure reducing valve and pilot filter
CASE-0641,MC-001,Hydraulic Oil,Air ingress,Filter indicator light on; System-wide power loss; Foamy oil in reservoir,Cleaned spool valve linkage and replaced valve seals
CASE-0642,MC-015,Boom Cylinder,Valve spool binding,Boom is slow; Arm is slow; Weak digging force,Flushed oil cooler core and replaced fan motor
CASE-0643,EXC-005,Hydraulic Pump,Accumulator pressure loss,Jerky cylinder movement; Inconsistent control response; System noise,Flushed oil cooler core and replaced fan motor
CASE-0644,MC-019,Boom Cylinder,Pilot pressure drop,Functions drift down when idle; Pressure drop under load; Sluggish response,Flushed oil cooler core and replaced fan motor
CASE-0645,EXC-007,Hydraulic Filter,Accumulator pressure loss,Hydraulic oil temperature high; Performance degrades when hot; Slow speed,Flushed oil cooler core and replaced fan motor
CASE-0646,MC-003,Boom Cylinder,Pilot pressure drop,Filter indicator light on; System-wide power loss; Foamy oil in reservoir,Bled hydraulic lines and replaced damaged fittings
CASE-0647,MC-004,Main Control Valve,Internal pump leakage,Filter indicator light on; System-wide power loss; Foamy oil in reservoir,Cleaned spool valve linkage and replaced valve seals
CASE-0648,MC-009,Main Control Valve,Cylinder seal wear,Levers feel light and unresponsive; Delayed function response; Uneven function speed,Flushed oil cooler core and replaced fan motor
CASE-0649,MC-002,Boom Cylinder,Cooler restriction,Boom is slow; Arm is slow; Weak digging force,Replaced worn hydraulic hose near swing joint
CASE-0650,EXC-005,Hydraulic Oil,Internal pump leakage,Hydraulic oil temperature high; Performance degrades when hot; Slow speed,Replaced cylinder seals and holding valve
CASE-0651,MC-015,Pilot System,Internal pump leakage,Jerky cylinder movement; Inconsistent control response; System noise,"Drained hydraulic oil, flushed system, replaced breather cap, refilled"
CASE-0652,EXC-004,Travel Motor,Pilot pressure drop,Boom is slow; Arm is slow; Weak digging force,Recharged accumulator pre-charge to specification
CASE-0653,MC-002,Accumulator,Cylinder seal wear,Levers feel light and unresponsive; Delayed function response; Uneven function speed,Replaced cylinder seals and holding valve
CASE-0654,MC-002,Hydraulic Line,Cooler restriction,Boom is slow; Arm is slow; Weak digging force,Replaced hydraulic filter element and cleaned suction strainer
CASE-0655,MC-019,Pilot System,Pilot pressure drop,Hydraulic oil temperature high; Performance degrades when hot; Slow speed,"Drained hydraulic oil, flushed system, replaced breather cap, refilled"
CASE-0656,MC-007,Bucket Cylinder,Cooler restriction,Functions drift down when idle; Pressure drop under load; Sluggish response,Bled hydraulic lines and replaced damaged fittings
CASE-0657,MC-017,Bucket Cylinder,Accumulator pressure loss,Boom is slow; Arm is slow; Weak digging force,Rebuilt main pump assembly and replaced seals
CASE-0658,MC-013,Bucket Cylinder,Line restriction,Functions drift down when idle; Pressure drop under load; Sluggish response,Replaced pilot pressure reducing valve and pilot filter
CASE-0659,MC-016,Boom Cylinder,Cooler restriction,Boom is slow; Arm is slow; Weak digging force,Bled hydraulic lines and replaced damaged fittings
CASE-0660,MC-018,Boom Cylinder,Pilot pressure drop,Filter indicator light on; System-wide power loss; Foamy oil in reservoir,Replaced pilot pressure reducing valve and pilot filter
CASE-0661,EXC-003,Hydraulic Oil,Pilot pressure drop,Filter indicator light on; System-wide power loss; Foamy oil in reservoir,Replaced pilot pressure reducing valve and pilot filter
CASE-0662,MC-014,Swing Motor,Cylinder seal wear,Functions drift down when idle; Pressure drop under load; Sluggish response,Replaced worn hydraulic hose near swing joint
CASE-0663,EXC-009,Bucket Cylinder,Internal pump leakage,Boom is slow; Arm is slow; Weak digging force,"Drained hydraulic oil, flushed system, replaced breather cap, refilled"
CASE-0664,MC-009,Swing Motor,Cooler restriction,Hydraulic oil temperature high; Performance degrades when hot; Slow speed,Rebuilt main pump assembly and replaced seals
CASE-0665,EXC-009,Hydraulic Pump,Cooler restriction,Levers feel light and unresponsive; Delayed function response; Uneven function speed,Replaced pilot pressure reducing valve and pilot filter
CASE-0666,EXC-006,Bucket Cylinder,Line restriction,Filter indicator light on; System-wide power loss; Foamy oil in reservoir,Flushed oil cooler core and replaced fan motor
CASE-0667,MC-015,Hydraulic Line,Cylinder seal wear,Jerky cylinder movement; Inconsistent control response; System noise,Recharged accumulator pre-charge to specification
CASE-0668,MC-001,Oil Cooler,Internal pump leakage,Filter indicator light on; System-wide power loss; Foamy oil in reservoir,Flushed oil cooler core and replaced fan motor
CASE-0669,MC-016,Bucket Cylinder,Line restriction,Boom is slow; Arm is slow; Weak digging force,Flushed oil cooler core and replaced fan motor
CASE-0670,MC-019,Hydraulic Filter,Cooler restriction,Filter indicator light on; System-wide power loss; Foamy oil in reservoir,Replaced cylinder seals and holding valve
CASE-0671,MC-015,Swing Motor,Line restriction,Levers feel light and unresponsive; Delayed function response; Uneven function speed,Flushed oil cooler core and replaced fan motor
CASE-0672,EXC-004,Main Control Valve,Oil contamination,Functions drift down when idle; Pressure drop under load; Sluggish response,Replaced cylinder seals and holding valve
CASE-0673,MC-006,Arm Cylinder,Cooler restriction,Levers feel light and unresponsive; Delayed function response; Uneven function speed,Bled hydraulic lines and replaced damaged fittings
CASE-0674,MC-016,Swing Motor,Accumulator pressure loss,Hydraulic oil temperature high; Performance degrades when hot; Slow speed,Recharged accumulator pre-charge to specification
CASE-0675,EXC-005,Main Control Valve,Cylinder seal wear,Boom is slow; Arm is slow; Weak digging force,Bled hydraulic lines and replaced damaged fittings
CASE-0676,MC-008,Bucket Cylinder,Line restriction,Boom is slow; Arm is slow; Weak digging force,Cleaned spool valve linkage and replaced valve seals
CASE-0677,MC-019,Travel Motor,Filter blockage,Filter indicator light on; System-wide power loss; Foamy oil in reservoir,Bled hydraulic lines and replaced damaged fittings
CASE-0678,MC-006,Accumulator,Oil contamination,Boom is slow; Arm is slow; Weak digging force,Cleaned spool valve linkage and replaced valve seals
CASE-0679,MC-016,Hydraulic Oil,Internal pump leakage,Levers feel light and unresponsive; Delayed function response; Uneven function speed,"Drained hydraulic oil, flushed system, replaced breather cap, refilled"
CASE-0680,EXC-007,Boom Cylinder,Cooler restriction,Levers feel light and unresponsive; Delayed function response; Uneven function speed,Bled hydraulic lines and replaced damaged fittings
CASE-0681,MC-018,Bucket Cylinder,Oil contamination,Filter indicator light on; System-wide power loss; Foamy oil in reservoir,Cleaned spool valve linkage and replaced valve seals
CASE-0682,MC-009,Hydraulic Pump,Oil contamination,Filter indicator light on; System-wide power loss; Foamy oil in reservoir,Recharged accumulator pre-charge to specification
CASE-0683,MC-009,Bucket Cylinder,Accumulator pressure loss,Hydraulic oil temperature high; Performance degrades when hot; Slow speed,Replaced hydraulic filter element and cleaned suction strainer
CASE-0684,MC-002,Arm Cylinder,Pilot pressure drop,Functions drift down when idle; Pressure drop under load; Sluggish response,Replaced pilot pressure reducing valve and pilot filter
CASE-0685,MC-009,Oil Cooler,Air ingress,Boom is slow; Arm is slow; Weak digging force,Recharged accumulator pre-charge to specification
CASE-0686,MC-009,Hydraulic Pump,Pilot pressure drop,Hydraulic oil temperature high; Performance degrades when hot; Slow speed,Recharged accumulator pre-charge to specification
CASE-0687,EXC-003,Bucket Cylinder,Filter blockage,Functions drift down when idle; Pressure drop under load; Sluggish response,Replaced pilot pressure reducing valve and pilot filter
CASE-0688,MC-019,Accumulator,Oil contamination,Jerky cylinder movement; Inconsistent control response; System noise,"Drained hydraulic oil, flushed system, replaced breather cap, refilled"
CASE-0689,EXC-004,Main Control Valve,Air ingress,Functions drift down when idle; Pressure drop under load; Sluggish response,Replaced cylinder seals and holding valve
CASE-0690,MC-015,Hydraulic Pump,Cylinder seal wear,Functions drift down when idle; Pressure drop under load; Sluggish response,Replaced worn hydraulic hose near swing joint
CASE-0691,EXC-007,Oil Cooler,Air ingress,Hydraulic oil temperature high; Performance degrades when hot; Slow speed,"Drained hydraulic oil, flushed system, replaced breather cap, refilled"
CASE-0692,MC-005,Hydraulic Oil,Oil contamination,Levers feel light and unresponsive; Delayed function response; Uneven function speed,"Drained hydraulic oil, flushed system, replaced breather cap, refilled"
CASE-0693,MC-019,Arm Cylinder,Cooler restriction,Filter indicator light on; System-wide power loss; Foamy oil in reservoir,Replaced hydraulic filter element and cleaned suction strainer
CASE-0694,MC-003,Travel Motor,Accumulator pressure loss,Functions drift down when idle; Pressure drop under load; Sluggish response,Replaced hydraulic filter element and cleaned suction strainer
CASE-0695,MC-003,Arm Cylinder,Valve spool binding,Functions drift down when idle; Pressure drop under load; Sluggish response,Replaced worn hydraulic hose near swing joint
CASE-0696,MC-005,Accumulator,Cylinder seal wear,Functions drift down when idle; Pressure drop under load; Sluggish response,Replaced pilot pressure reducing valve and pilot filter
CASE-0697,MC-009,Hydraulic Pump,Pilot pressure drop,Filter indicator light on; System-wide power loss; Foamy oil in reservoir,Replaced cylinder seals and holding valve
CASE-0698,EXC-003,Arm Cylinder,Valve spool binding,Filter indicator light on; System-wide power loss; Foamy oil in reservoir,Replaced hydraulic filter element and cleaned suction strainer
CASE-0699,EXC-003,Travel Motor,Air ingress,Boom is slow; Arm is slow; Weak digging force,Bled hydraulic lines and replaced damaged fittings
CASE-0700,MC-017,Bucket Cylinder,Filter blockage,Functions drift down when idle; Pressure drop under load; Sluggish response,Bled hydraulic lines and replaced damaged fittings
CASE-0701,MC-005,Boom Cylinder,Valve spool binding,Filter indicator light on; System-wide power loss; Foamy oil in reservoir,Bled hydraulic lines and replaced damaged fittings
CASE-0702,MC-016,Hydraulic Filter,Filter blockage,Levers feel light and unresponsive; Delayed function response; Uneven function speed,Replaced pilot pressure reducing valve and pilot filter
CASE-0703,MC-006,Swing Motor,Line restriction,Jerky cylinder movement; Inconsistent control response; System noise,Flushed oil cooler core and replaced fan motor
CASE-0704,MC-006,Pilot System,Line restriction,Boom is slow; Arm is slow; Weak digging force,Recharged accumulator pre-charge to specification
CASE-0705,EXC-003,Bucket Cylinder,Filter blockage,Filter indicator light on; System-wide power loss; Foamy oil in reservoir,"Drained hydraulic oil, flushed system, replaced breather cap, refilled"
CASE-0706,MC-008,Hydraulic Filter,Line restriction,Functions drift down when idle; Pressure drop under load; Sluggish response,Replaced pilot pressure reducing valve and pilot filter
CASE-0707,EXC-002,Hydraulic Line,Pilot pressure drop,Hydraulic oil temperature high; Performance degrades when hot; Slow speed,Replaced worn hydraulic hose near swing joint
CASE-0708,EXC-002,Bucket Cylinder,Pilot pressure drop,Jerky cylinder movement; Inconsistent control response; System noise,Rebuilt main pump assembly and replaced seals
CASE-0709,EXC-003,Hydraulic Line,Accumulator pressure loss,Boom is slow; Arm is slow; Weak digging force,Replaced hydraulic filter element and cleaned suction strainer
CASE-0710,MC-002,Hydraulic Filter,Pilot pressure drop,Levers feel light and unresponsive; Delayed function response; Uneven function speed,Rebuilt main pump assembly and replaced seals
CASE-0711,MC-020,Bucket Cylinder,Filter blockage,Functions drift down when idle; Pressure drop under load; Sluggish response,Replaced hydraulic filter element and cleaned suction strainer
CASE-0712,MC-009,Hydraulic Oil,Cooler restriction,Functions drift down when idle; Pressure drop under load; Sluggish response,Replaced cylinder seals and holding valve
CASE-0713,MC-003,Boom Cylinder,Cooler restriction,Boom is slow; Arm is slow; Weak digging force,"Drained hydraulic oil, flushed system, replaced breather cap, refilled"
CASE-0714,EXC-007,Hydraulic Pump,Line restriction,Boom is slow; Arm is slow; Weak digging force,"Drained hydraulic oil, flushed system, replaced breather cap, refilled"
CASE-0715,MC-009,Hydraulic Pump,Filter blockage,Hydraulic oil temperature high; Performance degrades when hot; Slow speed,Replaced cylinder seals and holding valve
CASE-0716,MC-006,Pilot System,Accumulator pressure loss,Hydraulic oil temperature high; Performance degrades when hot; Slow speed,Rebuilt main pump assembly and replaced seals
CASE-0717,EXC-004,Pilot System,Valve spool binding,Functions drift down when idle; Pressure drop under load; Sluggish response,Replaced worn hydraulic hose near swing joint
CASE-0718,EXC-003,Boom Cylinder,Valve spool binding,Boom is slow; Arm is slow; Weak digging force,Replaced hydraulic filter element and cleaned suction strainer
CASE-0719,MC-008,Pilot System,Filter blockage,Levers feel light and unresponsive; Delayed function response; Uneven function speed,Flushed oil cooler core and replaced fan motor
CASE-0720,MC-001,Travel Motor,Internal pump leakage,Boom is slow; Arm is slow; Weak digging force,Bled hydraulic lines and replaced damaged fittings
CASE-0721,MC-012,Main Control Valve,Pilot pressure drop,Filter indicator light on; System-wide power loss; Foamy oil in reservoir,Bled hydraulic lines and replaced damaged fittings
CASE-0722,MC-018,Hydraulic Line,Pilot pressure drop,Jerky cylinder movement; Inconsistent control response; System noise,Replaced hydraulic filter element and cleaned suction strainer
CASE-0723,MC-018,Boom Cylinder,Internal pump leakage,Boom is slow; Arm is slow; Weak digging force,Replaced cylinder seals and holding valve
CASE-0724,EXC-001,Oil Cooler,Internal pump leakage,Functions drift down when idle; Pressure drop under load; Sluggish response,Replaced worn hydraulic hose near swing joint
CASE-0725,MC-006,Hydraulic Filter,Internal pump leakage,Functions drift down when idle; Pressure drop under load; Sluggish response,"Drained hydraulic oil, flushed system, replaced breather cap, refilled"
CASE-0726,MC-013,Hydraulic Filter,Line restriction,Filter indicator light on; System-wide power loss; Foamy oil in reservoir,Bled hydraulic lines and replaced damaged fittings
CASE-0727,EXC-002,Pilot System,Pilot pressure drop,Filter indicator light on; System-wide power loss; Foamy oil in reservoir,Replaced hydraulic filter element and cleaned suction strainer
CASE-0728,MC-018,Arm Cylinder,Line restriction,Filter indicator light on; System-wide power loss; Foamy oil in reservoir,Recharged accumulator pre-charge to specification
CASE-0729,MC-002,Bucket Cylinder,Air ingress,Hydraulic oil temperature high; Performance degrades when hot; Slow speed,Replaced pilot pressure reducing valve and pilot filter
CASE-0730,EXC-005,Accumulator,Line restriction,Boom is slow; Arm is slow; Weak digging force,Rebuilt main pump assembly and replaced seals
CASE-0731,EXC-001,Swing Motor,Cylinder seal wear,Jerky cylinder movement; Inconsistent control response; System noise,Bled hydraulic lines and replaced damaged fittings
CASE-0732,EXC-009,Hydraulic Oil,Valve spool binding,Jerky cylinder movement; Inconsistent control response; System noise,Bled hydraulic lines and replaced damaged fittings
CASE-0733,EXC-006,Hydraulic Line,Accumulator pressure loss,Levers feel light and unresponsive; Delayed function response; Uneven function speed,Replaced cylinder seals and holding valve
CASE-0734,EXC-005,Travel Motor,Internal pump leakage,Filter indicator light on; System-wide power loss; Foamy oil in reservoir,Recharged accumulator pre-charge to specification
CASE-0735,MC-020,Hydraulic Filter,Oil contamination,Filter indicator light on; System-wide power loss; Foamy oil in reservoir,Rebuilt main pump assembly and replaced seals
CASE-0736,MC-020,Hydraulic Oil,Air ingress,Boom is slow; Arm is slow; Weak digging force,"Drained hydraulic oil, flushed system, replaced breather cap, refilled"
