service_id,maintenance_id,equipment_id,technician_id,service_date,service_type,service_shift,meter_reading_hours,inspection_finding,diagnostic_method,root_cause_confirmed,repair_or_service_action,part_replaced,test_after_service,service_duration_hours,downtime_hours,service_cost,next_service_due,service_status,technician_notes
SR-00790,MR-00790,EQ-0123,TECH-0697,2024-05-15,Condition-Based,Evening,18298,Hydraulic Pump: Internal pump leakage; observed symptom: hydraulic flow is low at operating temperature.,Operational test under load,blocked cooler core,tested pilot pressure and inspected pilot circuit,Return filter element,Operational test passed,10.58,8.24,15564.01,2024-11-15,Closed,"Technician checked Hydraulic Pump, recorded reported symptom, performed required service action, and completed post-service test."
SR-00791,MR-00791,EQ-0239,TECH-0510,2024-05-15,Condition-Based,Night,17493,Oil Cooler: Pilot pressure drop; observed symptom: pump noise increases during operation.,Visual inspection and pressure test,damaged cylinder seal,tested pilot pressure and inspected pilot circuit,Hydraulic hose,Functional test passed,11.67,2.18,57203.62,2024-11-15,Completed - Monitor,"Technician checked Oil Cooler, recorded reported symptom, performed required service action, and completed post-service test."
SR-00792,MR-00792,EQ-0181,TECH-0398,2024-05-15,Inspection,Day,15565,Hydraulic Oil: Internal pump leakage; observed symptom: arm movement slow after hydraulic oil warms.,Visual inspection and pressure test,damaged cylinder seal,"drained contaminated oil, flushed circuit and refilled with filtered oil",Return filter element,Operational test passed,7.62,9.51,40640.21,2024-11-15,Completed - Monitor,"Technician checked Hydraulic Oil, recorded reported symptom, performed required service action, and completed post-service test."
SR-00793,MR-00793,EQ-0172,TECH-0455,2024-05-15,Condition-Based,Day,9532,Main Control Valve: Air ingress; observed symptom: hydraulic oil temperature rises during continuous operation.,Temperature and pressure checks,damaged cylinder seal,inspected hydraulic circuit and isolated affected component,Pump seal kit,Operational test passed,3.82,6.48,51085.98,2024-11-15,Follow-up Required,"Technician checked Main Control Valve, recorded reported symptom, performed required service action, and completed post-service test."
SR-00794,MR-00794,EQ-0200,TECH-0946,2024-05-15,Inspection,Day,7499,Boom Cylinder: Filter blockage; observed symptom: pump noise increases during operation.,Operational test under load,contaminated hydraulic oil,inspected hydraulic circuit and isolated affected component,Cylinder seal kit,Functional test passed,15.41,7.71,39229.76,2024-11-15,Closed,"Technician checked Boom Cylinder, recorded reported symptom, performed required service action, and completed post-service test."
SR-00795,MR-00795,EQ-0127,TECH-0686,2024-05-15,Inspection,Night,11379,Oil Cooler: Oil contamination; observed symptom: travel function loses power on incline.,Filter inspection and fluid condition check,contaminated hydraulic oil,inspected hydraulic circuit and isolated affected component,Cooler gasket set,Functional test passed,5.56,2.84,69820.38,2024-11-15,Follow-up Required,"Technician checked Oil Cooler, recorded reported symptom, performed required service action, and completed post-service test."
SR-00796,MR-00796,EQ-0156,TECH-0980,2024-05-15,Corrective,Evening,15275,Boom Cylinder: Oil contamination; observed symptom: travel function loses power on incline.,Temperature and pressure checks,contaminated hydraulic oil,tested pilot pressure and inspected pilot circuit,Cylinder seal kit,Operational test passed,6.44,2.62,15500.94,2024-11-15,Closed,"Technician checked Boom Cylinder, recorded reported symptom, performed required service action, and completed post-service test."
SR-00797,MR-00797,EQ-0161,TECH-0815,2024-05-15,Inspection,Night,10164,Boom Cylinder: Pilot pressure drop; observed symptom: hydraulic flow is low at operating temperature.,Visual inspection and pressure test,contaminated hydraulic oil,inspected hydraulic circuit and isolated affected component,Return filter element,Functional test passed,3.73,8.39,35566.12,2024-11-15,Closed,"Technician checked Boom Cylinder, recorded reported symptom, performed required service action, and completed post-service test."
SR-00798,MR-00798,EQ-0176,TECH-0477,2024-05-15,Condition-Based,Day,17537,Travel Motor: Cylinder seal wear; observed symptom: bucket cylinder leaking externally.,Temperature and pressure checks,damaged cylinder seal,"drained contaminated oil, flushed circuit and refilled with filtered oil",Pump seal kit,Functional test passed,7.91,1.22,48998.21,2024-11-15,Follow-up Required,"Technician checked Travel Motor, recorded reported symptom, performed required service action, and completed post-service test."
SR-00799,MR-00799,EQ-0185,TECH-0536,2024-05-15,Preventive,Evening,4162,Hydraulic Oil: Line restriction; observed symptom: bucket cylinder leaking externally.,Filter inspection and fluid condition check,loss of accumulator pre-charge,replaced damaged hose and pressure-tested circuit,Hydraulic hose,Operational test passed,1.81,3.57,44223.88,2024-11-15,Completed - Monitor,"Technician checked Hydraulic Oil, recorded reported symptom, performed required service action, and completed post-service test."
SR-00800,MR-00800,EQ-0212,TECH-0452,2024-05-15,Preventive,Night,7140,Arm Cylinder: Valve spool binding; observed symptom: travel function loses power on incline.,Operational test under load,loss of accumulator pre-charge,tested pilot pressure and inspected pilot circuit,Hydraulic hose,Operational test passed,1.68,9.68,12056.53,2024-11-15,Completed,"Technician checked Arm Cylinder, recorded reported symptom, performed required service action, and completed post-service test."
SR-00801,MR-00801,EQ-0188,TECH-0115,2024-05-15,Condition-Based,Night,2107,Hydraulic Filter: Pilot pressure drop; observed symptom: bucket cylinder leaking externally.,Operational test under load,damaged cylinder seal,"drained contaminated oil, flushed circuit and refilled with filtered oil",Hydraulic oil,Leak test passed,6.91,11.12,19565.74,2024-11-15,Follow-up Required,"Technician checked Hydraulic Filter, recorded reported symptom, performed required service action, and completed post-service test."
SR-00802,MR-00802,EQ-0194,TECH-0266,2024-05-15,Inspection,Night,11380,Travel Motor: Air ingress; observed symptom: hydraulic oil temperature rises during continuous operation.,Temperature and pressure checks,loss of accumulator pre-charge,tested pilot pressure and inspected pilot circuit,Valve O-rings,Functional test passed,3.85,5.25,20362.47,2024-11-15,Closed,"Technician checked Travel Motor, recorded reported symptom, performed required service action, and completed post-service test."
SR-00803,MR-00803,EQ-0189,TECH-0970,2024-05-15,Inspection,Day,7681,Accumulator: Filter blockage; observed symptom: travel function loses power on incline.,Visual inspection and pressure test,contaminated hydraulic oil,tested pilot pressure and inspected pilot circuit,Pump seal kit,Operational test passed,8.63,8.16,30498.09,2024-11-15,Follow-up Required,"Technician checked Accumulator, recorded reported symptom, performed required service action, and completed post-service test."
SR-00804,MR-00804,EQ-0134,TECH-0609,2024-05-15,Preventive,Night,1734,Accumulator: Pilot pressure drop; observed symptom: pump noise increases during operation.,Filter inspection and fluid condition check,loss of accumulator pre-charge,tested pilot pressure and inspected pilot circuit,Valve O-rings,Leak test passed,5.05,3.49,68618.11,2024-11-15,Completed - Monitor,"Technician checked Accumulator, recorded reported symptom, performed required service action, and completed post-service test."
SR-00805,MR-00805,EQ-0226,TECH-0771,2024-05-15,Condition-Based,Evening,10280,Hydraulic Oil: Cooler restriction; observed symptom: arm movement slow after hydraulic oil warms.,Filter inspection and fluid condition check,blocked cooler core,inspected hydraulic circuit and isolated affected component,Pump seal kit,Pressure test passed,6.53,4.45,36903.05,2024-11-15,Follow-up Required,"Technician checked Hydraulic Oil, recorded reported symptom, performed required service action, and completed post-service test."
SR-00806,MR-00806,EQ-0156,TECH-0835,2024-05-15,Inspection,Day,2090,Hydraulic Line: Pilot pressure drop; observed symptom: hydraulic oil temperature rises during continuous operation.,Temperature and pressure checks,air entering suction line,inspected hydraulic circuit and isolated affected component,Cylinder seal kit,Pressure test passed,3.29,10.35,27181.67,2024-11-15,Completed,"Technician checked Hydraulic Line, recorded reported symptom, performed required service action, and completed post-service test."
SR-00807,MR-00807,EQ-0151,TECH-0582,2024-05-15,Corrective,Day,2350,Hydraulic Oil: Valve spool binding; observed symptom: travel function loses power on incline.,Temperature and pressure checks,blocked cooler core,inspected hydraulic circuit and isolated affected component,Cylinder seal kit,Leak test passed,1.5,7.55,67200.31,2024-11-15,Completed,"Technician checked Hydraulic Oil, recorded reported symptom, performed required service action, and completed post-service test."
SR-00808,MR-00808,EQ-0108,TECH-0592,2024-05-15,Condition-Based,Day,7295,Oil Cooler: Internal pump leakage; observed symptom: bucket cylinder leaking externally.,Filter inspection and fluid condition check,damaged cylinder seal,replaced damaged hose and pressure-tested circuit,Return filter element,Operational test passed,6.89,11.32,37009.17,2024-11-15,Completed,"Technician checked Oil Cooler, recorded reported symptom, performed required service action, and completed post-service test."
SR-00809,MR-00809,EQ-0240,TECH-0279,2024-05-15,Preventive,Day,3956,Travel Motor: Oil contamination; observed symptom: hydraulic flow is low at operating temperature.,Filter inspection and fluid condition check,damaged cylinder seal,tested pilot pressure and inspected pilot circuit,Cooler gasket set,Functional test passed,4.17,9.43,67421.26,2024-11-15,Follow-up Required,"Technician checked Travel Motor, recorded reported symptom, performed required service action, and completed post-service test."
SR-00810,MR-00810,EQ-0104,TECH-0430,2024-05-15,Condition-Based,Day,10115,Hydraulic Pump: Valve spool binding; observed symptom: pump noise increases during operation.,Filter inspection and fluid condition check,damaged cylinder seal,inspected hydraulic circuit and isolated affected component,Cooler gasket set,Leak test passed,14.07,3.58,42426.4,2024-11-15,Follow-up Required,"Technician checked Hydraulic Pump, recorded reported symptom, performed required service action, and completed post-service test."
SR-00811,MR-00811,EQ-0187,TECH-0328,2024-05-15,Inspection,Evening,16573,Arm Cylinder: Line restriction; observed symptom: arm movement slow after hydraulic oil warms.,Operational test under load,air entering suction line,tested pilot pressure and inspected pilot circuit,Valve O-rings,Pressure test passed,5.87,9.26,53106.33,2024-11-15,Completed - Monitor,"Technician checked Arm Cylinder, recorded reported symptom, performed required service action, and completed post-service test."
SR-00812,MR-00812,EQ-0137,TECH-0454,2024-05-15,Corrective,Evening,7432,Accumulator: Filter blockage; observed symptom: hydraulic flow is low at operating temperature.,Visual inspection and pressure test,loss of accumulator pre-charge,replaced damaged hose and pressure-tested circuit,Valve O-rings,Pressure test passed,6.24,6.23,14042.83,2024-11-15,Completed - Monitor,"Technician checked Accumulator, recorded reported symptom, performed required service action, and completed post-service test."
SR-00813,MR-00813,EQ-0225,TECH-0736,2024-05-15,Preventive,Day,8443,Hydraulic Oil: Oil contamination; observed symptom: hydraulic oil temperature rises during continuous operation.,Visual inspection and pressure test,contaminated hydraulic oil,tested pilot pressure and inspected pilot circuit,Pump seal kit,Operational test passed,11.32,8.84,49422.06,2024-11-15,Follow-up Required,"Technician checked Hydraulic Oil, recorded reported symptom, performed required service action, and completed post-service test."
SR-00814,MR-00814,EQ-0112,TECH-0805,2024-05-15,Preventive,Night,6027,Accumulator: Cylinder seal wear; observed symptom: pump noise increases during operation.,Temperature and pressure checks,high oil temperature,"drained contaminated oil, flushed circuit and refilled with filtered oil",Valve O-rings,Pressure test passed,11.36,1.01,49831.94,2024-11-15,Follow-up Required,"Technician checked Accumulator, recorded reported symptom, performed required service action, and completed post-service test."
SR-00815,MR-00815,EQ-0156,TECH-0960,2024-05-15,Condition-Based,Night,3627,Arm Cylinder: Cooler restriction; observed symptom: arm movement slow after hydraulic oil warms.,Operational test under load,loss of accumulator pre-charge,replaced damaged hose and pressure-tested circuit,Return filter element,Leak test passed,12.8,5.77,52591.37,2024-11-15,Completed - Monitor,"Technician checked Arm Cylinder, recorded reported symptom, performed required service action, and completed post-service test."
SR-00816,MR-00816,EQ-0111,TECH-0301,2024-05-15,Condition-Based,Day,7153,Hydraulic Line: Valve spool binding; observed symptom: arm movement slow after hydraulic oil warms.,Visual inspection and pressure test,high oil temperature,tested pilot pressure and inspected pilot circuit,Hydraulic filter,Pressure test passed,4.96,4.34,49732.77,2024-11-15,Follow-up Required,"Technician checked Hydraulic Line, recorded reported symptom, performed required service action, and completed post-service test."
SR-00817,MR-00817,EQ-0153,TECH-0470,2024-05-15,Condition-Based,Night,14309,Hydraulic Pump: Accumulator pressure loss; observed symptom: arm movement slow after hydraulic oil warms.,Visual inspection and pressure test,damaged cylinder seal,tested pilot pressure and inspected pilot circuit,Hydraulic filter,Pressure test passed,15.4,8.63,52584.96,2024-11-15,Completed - Monitor,"Technician checked Hydraulic Pump, recorded reported symptom, performed required service action, and completed post-service test."
SR-00818,MR-00818,EQ-0176,TECH-0810,2024-05-15,Condition-Based,Evening,13912,Hydraulic Filter: Cylinder seal wear; observed symptom: hydraulic flow is low at operating temperature.,Filter inspection and fluid condition check,air entering suction line,inspected hydraulic circuit and isolated affected component,Return filter element,Operational test passed,2.52,8.69,49205.0,2024-11-15,Completed - Monitor,"Technician checked Hydraulic Filter, recorded reported symptom, performed required service action, and completed post-service test."
SR-00819,MR-00819,EQ-0126,TECH-0387,2024-05-15,Condition-Based,Day,13076,Boom Cylinder: Internal pump leakage; observed symptom: arm movement slow after hydraulic oil warms.,Temperature and pressure checks,air entering suction line,"drained contaminated oil, flushed circuit and refilled with filtered oil",Pump seal kit,Pressure test passed,6.87,9.33,57188.52,2024-11-15,Completed,"Technician checked Boom Cylinder, recorded reported symptom, performed required service action, and completed post-service test."
SR-00820,MR-00820,EQ-0132,TECH-0632,2024-05-15,Preventive,Day,13653,Main Control Valve: Internal pump leakage; observed symptom: pump noise increases during operation.,Visual inspection and pressure test,damaged cylinder seal,inspected hydraulic circuit and isolated affected component,Hydraulic filter,Pressure test passed,15.56,8.95,62681.67,2024-11-15,Closed,"Technician checked Main Control Valve, recorded reported symptom, performed required service action, and completed post-service test."
SR-00821,MR-00821,EQ-0137,TECH-0763,2024-05-15,Inspection,Evening,2782,Hydraulic Pump: Air ingress; observed symptom: pump noise increases during operation.,Filter inspection and fluid condition check,air entering suction line,"drained contaminated oil, flushed circuit and refilled with filtered oil",Hydraulic oil,Operational test passed,5.09,4.8,32665.58,2024-11-15,Follow-up Required,"Technician checked Hydraulic Pump, recorded reported symptom, performed required service action, and completed post-service test."
SR-00822,MR-00822,EQ-0113,TECH-0364,2024-05-15,Corrective,Evening,6814,Swing Motor: Pilot pressure drop; observed symptom: hydraulic oil temperature rises during continuous operation.,Temperature and pressure checks,loss of accumulator pre-charge,"drained contaminated oil, flushed circuit and refilled with filtered oil",Valve O-rings,Leak test passed,8.03,0.85,61288.72,2024-11-15,Completed,"Technician checked Swing Motor, recorded reported symptom, performed required service action, and completed post-service test."
SR-00823,MR-00823,EQ-0186,TECH-0794,2024-05-15,Preventive,Day,13267,Hydraulic Line: Pilot pressure drop; observed symptom: bucket cylinder leaking externally.,Temperature and pressure checks,damaged cylinder seal,"drained contaminated oil, flushed circuit and refilled with filtered oil",Cooler gasket set,Operational test passed,6.05,4.21,15125.73,2024-11-15,Completed,"Technician checked Hydraulic Line, recorded reported symptom, performed required service action, and completed post-service test."
SR-00824,MR-00824,EQ-0192,TECH-0169,2024-05-15,Inspection,Night,6855,Boom Cylinder: Cylinder seal wear; observed symptom: arm movement slow after hydraulic oil warms.,Filter inspection and fluid condition check,loss of accumulator pre-charge,tested pilot pressure and inspected pilot circuit,Valve O-rings,Leak test passed,4.58,11.72,33276.69,2024-11-15,Completed - Monitor,"Technician checked Boom Cylinder, recorded reported symptom, performed required service action, and completed post-service test."
SR-00825,MR-00825,EQ-0235,TECH-0356,2024-05-15,Inspection,Evening,17686,Travel Motor: Valve spool binding; observed symptom: hydraulic flow is low at operating temperature.,Operational test under load,loss of accumulator pre-charge,tested pilot pressure and inspected pilot circuit,Hydraulic hose,Leak test passed,2.93,11.44,13409.6,2024-11-15,Follow-up Required,"Technician checked Travel Motor, recorded reported symptom, performed required service action, and completed post-service test."
SR-00826,MR-00826,EQ-0171,TECH-0538,2024-05-15,Condition-Based,Day,8954,Oil Cooler: Pilot pressure drop; observed symptom: arm movement slow after hydraulic oil warms.,Visual inspection and pressure test,blocked cooler core,"drained contaminated oil, flushed circuit and refilled with filtered oil",Return filter element,Operational test passed,15.31,8.19,76387.15,2024-11-15,Closed,"Technician checked Oil Cooler, recorded reported symptom, performed required service action, and completed post-service test."
SR-00827,MR-00827,EQ-0153,TECH-0239,2024-05-15,Corrective,Night,13502,Hydraulic Oil: Pilot pressure drop; observed symptom: pump noise increases during operation.,Temperature and pressure checks,damaged cylinder seal,tested pilot pressure and inspected pilot circuit,Return filter element,Operational test passed,15.47,10.39,6773.11,2024-11-15,Closed,"Technician checked Hydraulic Oil, recorded reported symptom, performed required service action, and completed post-service test."
SR-00828,MR-00828,EQ-0165,TECH-0303,2024-05-15,Corrective,Evening,13285,Pilot System: Valve spool binding; observed symptom: bucket cylinder leaking externally.,Operational test under load,air entering suction line,replaced damaged hose and pressure-tested circuit,Hydraulic oil,Leak test passed,6.93,5.67,40708.47,2024-11-15,Completed,"Technician checked Pilot System, recorded reported symptom, performed required service action, and completed post-service test."
SR-00829,MR-00829,EQ-0239,TECH-0765,2024-05-15,Condition-Based,Night,9036,Hydraulic Oil: Filter blockage; observed symptom: arm movement slow after hydraulic oil warms.,Temperature and pressure checks,loss of accumulator pre-charge,"drained contaminated oil, flushed circuit and refilled with filtered oil",Pump seal kit,Pressure test passed,14.17,1.08,63301.89,2024-11-15,Closed,"Technician checked Hydraulic Oil, recorded reported symptom, performed required service action, and completed post-service test."
SR-00830,MR-00830,EQ-0174,TECH-0200,2024-05-15,Inspection,Day,2510,Main Control Valve: Pilot pressure drop; observed symptom: travel function loses power on incline.,Filter inspection and fluid condition check,loss of accumulator pre-charge,"drained contaminated oil, flushed circuit and refilled with filtered oil",Cylinder seal kit,Pressure test passed,10.98,9.81,27270.29,2024-11-15,Closed,"Technician checked Main Control Valve, recorded reported symptom, performed required service action, and completed post-service test."
SR-00831,MR-00831,EQ-0159,TECH-0112,2024-05-15,Inspection,Night,8667,Pilot System: Accumulator pressure loss; observed symptom: arm movement slow after hydraulic oil warms.,Visual inspection and pressure test,air entering suction line,inspected hydraulic circuit and isolated affected component,Cylinder seal kit,Pressure test passed,4.16,0.45,38198.94,2024-11-15,Completed,"Technician checked Pilot System, recorded reported symptom, performed required service action, and completed post-service test."
SR-00832,MR-00832,EQ-0214,TECH-0922,2024-05-15,Preventive,Night,1740,Travel Motor: Valve spool binding; observed symptom: arm movement slow after hydraulic oil warms.,Filter inspection and fluid condition check,loss of accumulator pre-charge,tested pilot pressure and inspected pilot circuit,Valve O-rings,Operational test passed,9.53,9.16,71552.05,2024-11-15,Closed,"Technician checked Travel Motor, recorded reported symptom, performed required service action, and completed post-service test."
SR-00833,MR-00833,EQ-0147,TECH-0521,2024-05-15,Condition-Based,Night,14551,Hydraulic Line: Cylinder seal wear; observed symptom: hydraulic flow is low at operating temperature.,Operational test under load,contaminated hydraulic oil,"drained contaminated oil, flushed circuit and refilled with filtered oil",Cooler gasket set,Functional test passed,7.24,1.03,27115.3,2024-11-15,Completed,"Technician checked Hydraulic Line, recorded reported symptom, performed required service action, and completed post-service test."
SR-00834,MR-00834,EQ-0118,TECH-0874,2024-05-15,Condition-Based,Day,6967,Arm Cylinder: Internal pump leakage; observed symptom: arm movement slow after hydraulic oil warms.,Operational test under load,blocked cooler core,"drained contaminated oil, flushed circuit and refilled with filtered oil",Hydraulic oil,Pressure test passed,14.37,10.76,69381.96,2024-11-15,Closed,"Technician checked Arm Cylinder, recorded reported symptom, performed required service action, and completed post-service test."
SR-00835,MR-00835,EQ-0221,TECH-0102,2024-05-15,Condition-Based,Night,1915,Hydraulic Filter: Cooler restriction; observed symptom: bucket cylinder leaking externally.,Temperature and pressure checks,air entering suction line,"drained contaminated oil, flushed circuit and refilled with filtered oil",Pump seal kit,Pressure test passed,13.09,3.14,2903.4,2024-11-15,Completed - Monitor,"Technician checked Hydraulic Filter, recorded reported symptom, performed required service action, and completed post-service test."
SR-00836,MR-00836,EQ-0199,TECH-0220,2024-05-15,Preventive,Evening,3022,Hydraulic Oil: Accumulator pressure loss; observed symptom: travel function loses power on incline.,Temperature and pressure checks,damaged cylinder seal,inspected hydraulic circuit and isolated affected component,Pump seal kit,Pressure test passed,14.09,0.39,34780.25,2024-11-15,Completed - Monitor,"Technician checked Hydraulic Oil, recorded reported symptom, performed required service action, and completed post-service test."
SR-00837,MR-00837,EQ-0152,TECH-0832,2024-05-15,Condition-Based,Day,2670,Hydraulic Pump: Accumulator pressure loss; observed symptom: hydraulic flow is low at operating temperature.,Operational test under load,high oil temperature,tested pilot pressure and inspected pilot circuit,Pump seal kit,Leak test passed,4.13,10.28,64505.69,2024-11-15,Completed,"Technician checked Hydraulic Pump, recorded reported symptom, performed required service action, and completed post-service test."
SR-00838,MR-00838,EQ-0181,TECH-0683,2024-05-15,Inspection,Night,6160,Hydraulic Line: Cylinder seal wear; observed symptom: travel function loses power on incline.,Visual inspection and pressure test,contaminated hydraulic oil,"drained contaminated oil, flushed circuit and refilled with filtered oil",Hydraulic hose,Functional test passed,1.79,7.46,62394.75,2024-11-15,Follow-up Required,"Technician checked Hydraulic Line, recorded reported symptom, performed required service action, and completed post-service test."
SR-00839,MR-00839,EQ-0124,TECH-0512,2024-05-15,Corrective,Night,14979,Hydraulic Pump: Cooler restriction; observed symptom: bucket cylinder leaking externally.,Operational test under load,high oil temperature,tested pilot pressure and inspected pilot circuit,Return filter element,Operational test passed,10.92,11.44,36459.25,2024-11-15,Follow-up Required,"Technician checked Hydraulic Pump, recorded reported symptom, performed required service action, and completed post-service test."
SR-00840,MR-00840,EQ-0164,TECH-0231,2024-05-15,Inspection,Evening,11336,Hydraulic Oil: Line restriction; observed symptom: bucket cylinder leaking externally.,Visual inspection and pressure test,loss of accumulator pre-charge,replaced damaged hose and pressure-tested circuit,Return filter element,Operational test passed,10.42,6.52,39294.66,2024-11-15,Closed,"Technician checked Hydraulic Oil, recorded reported symptom, performed required service action, and completed post-service test."
SR-00841,MR-00841,EQ-0151,TECH-0622,2024-05-15,Preventive,Day,7125,Accumulator: Cylinder seal wear; observed symptom: travel function loses power on incline.,Temperature and pressure checks,air entering suction line,"drained contaminated oil, flushed circuit and refilled with filtered oil",Hydraulic filter,Leak test passed,10.82,8.61,68735.0,2024-11-15,Completed - Monitor,"Technician checked Accumulator, recorded reported symptom, performed required service action, and completed post-service test."
SR-00842,MR-00842,EQ-0166,TECH-0500,2024-05-15,Preventive,Evening,7168,Main Control Valve: Cylinder seal wear; observed symptom: travel function loses power on incline.,Temperature and pressure checks,damaged cylinder seal,replaced damaged hose and pressure-tested circuit,Return filter element,Pressure test passed,14.65,10.99,67099.22,2024-11-15,Follow-up Required,"Technician checked Main Control Valve, recorded reported symptom, performed required service action, and completed post-service test."
SR-00843,MR-00843,EQ-0216,TECH-0229,2024-05-15,Inspection,Evening,14586,Travel Motor: Cooler restriction; observed symptom: pump noise increases during operation.,Operational test under load,blocked cooler core,replaced damaged hose and pressure-tested circuit,Hydraulic oil,Leak test passed,8.67,3.29,71136.04,2024-11-15,Completed,"Technician checked Travel Motor, recorded reported symptom, performed required service action, and completed post-service test."
SR-00844,MR-00844,EQ-0224,TECH-0321,2024-05-15,Inspection,Evening,5418,Boom Cylinder: Pilot pressure drop; observed symptom: travel function loses power on incline.,Filter inspection and fluid condition check,air entering suction line,"drained contaminated oil, flushed circuit and refilled with filtered oil",Valve O-rings,Leak test passed,4.07,11.49,13895.7,2024-11-15,Closed,"Technician checked Boom Cylinder, recorded reported symptom, performed required service action, and completed post-service test."
SR-00845,MR-00845,EQ-0164,TECH-0884,2024-05-15,Condition-Based,Evening,6716,Accumulator: Pilot pressure drop; observed symptom: bucket cylinder leaking externally.,Visual inspection and pressure test,blocked cooler core,replaced damaged hose and pressure-tested circuit,Pump seal kit,Leak test passed,14.39,9.52,63763.01,2024-11-15,Follow-up Required,"Technician checked Accumulator, recorded reported symptom, performed required service action, and completed post-service test."
SR-00846,MR-00846,EQ-0146,TECH-0136,2024-05-15,Corrective,Night,10708,Oil Cooler: Valve spool binding; observed symptom: travel function loses power on incline.,Temperature and pressure checks,high oil temperature,inspected hydraulic circuit and isolated affected component,Cooler gasket set,Operational test passed,14.44,8.53,33788.6,2024-11-15,Completed - Monitor,"Technician checked Oil Cooler, recorded reported symptom, performed required service action, and completed post-service test."
SR-00847,MR-00847,EQ-0236,TECH-0644,2024-05-15,Corrective,Night,10748,Bucket Cylinder: Cooler restriction; observed symptom: bucket cylinder leaking externally.,Visual inspection and pressure test,loss of accumulator pre-charge,tested pilot pressure and inspected pilot circuit,Pump seal kit,Functional test passed,2.85,7.78,21310.13,2024-11-15,Closed,"Technician checked Bucket Cylinder, recorded reported symptom, performed required service action, and completed post-service test."
SR-00848,MR-00848,EQ-0240,TECH-0505,2024-05-15,Inspection,Night,7980,Bucket Cylinder: Pilot pressure drop; observed symptom: bucket cylinder leaking externally.,Operational test under load,damaged cylinder seal,replaced damaged hose and pressure-tested circuit,Cooler gasket set,Pressure test passed,9.64,5.79,30148.64,2024-11-15,Closed,"Technician checked Bucket Cylinder, recorded reported symptom, performed required service action, and completed post-service test."
SR-00849,MR-00849,EQ-0216,TECH-0537,2024-05-15,Condition-Based,Evening,10142,Accumulator: Valve spool binding; observed symptom: travel function loses power on incline.,Temperature and pressure checks,high oil temperature,replaced damaged hose and pressure-tested circuit,Valve O-rings,Leak test passed,2.11,9.47,62057.05,2024-11-15,Closed,"Technician checked Accumulator, recorded reported symptom, performed required service action, and completed post-service test."
SR-00850,MR-00850,EQ-0182,TECH-0879,2024-05-15,Inspection,Night,6030,Accumulator: Internal pump leakage; observed symptom: pump noise increases during operation.,Visual inspection and pressure test,air entering suction line,replaced damaged hose and pressure-tested circuit,Cooler gasket set,Leak test passed,4.32,0.35,25443.09,2024-11-15,Closed,"Technician checked Accumulator, recorded reported symptom, performed required service action, and completed post-service test."
SR-00851,MR-00851,EQ-0167,TECH-0300,2024-05-15,Inspection,Day,12046,Pilot System: Air ingress; observed symptom: bucket cylinder leaking externally.,Temperature and pressure checks,blocked cooler core,tested pilot pressure and inspected pilot circuit,Valve O-rings,Operational test passed,3.99,9.97,39559.13,2024-11-15,Closed,"Technician checked Pilot System, recorded reported symptom, performed required service action, and completed post-service test."
SR-00852,MR-00852,EQ-0168,TECH-0653,2024-05-15,Inspection,Day,2408,Bucket Cylinder: Cooler restriction; observed symptom: bucket cylinder leaking externally.,Temperature and pressure checks,blocked cooler core,tested pilot pressure and inspected pilot circuit,Cylinder seal kit,Functional test passed,11.09,4.85,6282.05,2024-11-15,Completed,"Technician checked Bucket Cylinder, recorded reported symptom, performed required service action, and completed post-service test."
SR-00853,MR-00853,EQ-0140,TECH-0162,2024-05-15,Preventive,Evening,6023,Accumulator: Valve spool binding; observed symptom: hydraulic flow is low at operating temperature.,Temperature and pressure checks,contaminated hydraulic oil,"drained contaminated oil, flushed circuit and refilled with filtered oil",Hydraulic filter,Pressure test passed,5.83,4.19,50794.52,2024-11-15,Closed,"Technician checked Accumulator, recorded reported symptom, performed required service action, and completed post-service test."
SR-00854,MR-00854,EQ-0236,TECH-0652,2024-05-15,Corrective,Day,11511,Bucket Cylinder: Accumulator pressure loss; observed symptom: bucket cylinder leaking externally.,Filter inspection and fluid condition check,contaminated hydraulic oil,tested pilot pressure and inspected pilot circuit,Hydraulic hose,Leak test passed,10.74,5.14,67516.32,2024-11-15,Completed - Monitor,"Technician checked Bucket Cylinder, recorded reported symptom, performed required service action, and completed post-service test."
SR-00855,MR-00855,EQ-0124,TECH-0276,2024-05-15,Corrective,Night,6316,Bucket Cylinder: Accumulator pressure loss; observed symptom: bucket cylinder leaking externally.,Filter inspection and fluid condition check,high oil temperature,inspected hydraulic circuit and isolated affected component,Pump seal kit,Pressure test passed,3.76,4.69,61170.29,2024-11-15,Completed,"Technician checked Bucket Cylinder, recorded reported symptom, performed required service action, and completed post-service test."
SR-00856,MR-00856,EQ-0106,TECH-0694,2024-05-15,Preventive,Night,5377,Hydraulic Filter: Air ingress; observed symptom: pump noise increases during operation.,Temperature and pressure checks,contaminated hydraulic oil,tested pilot pressure and inspected pilot circuit,Cylinder seal kit,Functional test passed,3.27,11.04,10413.3,2024-11-15,Follow-up Required,"Technician checked Hydraulic Filter, recorded reported symptom, performed required service action, and completed post-service test."
